candidate_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
77,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.7233901805269123,37.88673714907607,7.281230103025762,0.05650990019838368,ss,5,ss,53
78,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.7633787895580029,-23.12866572200776,2.338270695764492,0.06770260551859665,ss,5,ss,54
13,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.7583211449110825,-24.80932530627556,7.69833864808929,0.10698623721235997,ss,5,ss,55
23,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.8635147235155922,20.810792317801898,2.700004694573202,0.03396870089960919,ss,5,ss,56
88,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.7650488368930117,37.44990855387614,9.49586038967535,0.07708510223014295,ss,5,ss,57
93,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.7202342713883392,90.6038275719572,7.379235421486551,0.19831621755220133,ss,5,ss,58
28,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.803487332415389,62.85556709680118,3.508158838665776,0.1927538498399501,ss,5,ss,59
30,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.8440426377886416,74.89457675138645,2.4815420113040894,0.2033481671466496,ss,5,ss,60
63,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.8024403550906989,54.052279627534006,0.7835474461348899,0.06853241663182504,ss,5,ss,61
69,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.8157132077516251,-9.158095892106012,1.5425199329415993,0.10461523274040675,ss,5,ss,62
37,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.850201287447127,-23.610863344857922,3.174313471469514,0.09596574297894987,ss,5,ss,63
44,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.9574913344351303,60.330778594253744,5.693986104256724,0.02594051283239134,ss,5,ss,64
50,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.7574589099188445,16.984443738236656,6.500032026659108,0.0053197222862812,ss,5,ss,65
58,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.6570690668339354,65.41548061861006,9.746255171063142,0.1253727810661245,ss,5,ss,66
5,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.70718739917249,77.59333181282473,1.640360370957063,0.08808802447957859,ss,5,ss,67
10,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.8192539844867324,83.7353228724208,4.0797142163589015,0.16488935823115883,ss,5,ss,68
73,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.887781688094632,98.13418773059587,5.2503152215383615,0.09866996578807569,ss,5,ss,69
83,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.7310804318898378,32.05381185077523,11.665500336411737,0.14832062884626984,ss,5,ss,70
16,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.8065289913698104,-2.024400335870901,9.650392204729943,0.14713787973299336,ss,5,ss,71
