target,strategy,seed,labeled_rows,test_rows,r2,mae,rmse,mape_pct
power_avg_uW,uncertainty,1,60,64,0.7985496471561588,1.1787654784252029,1.4420673326605968,27.903494485776264
power_avg_uW,uncertainty,1,80,64,0.8190265585002308,1.1071882132021948,1.3668125105168516,24.937026476672365
power_avg_uW,uncertainty,1,100,64,0.8528613816570384,0.9615920101679267,1.2324373725804452,20.66929456495584
power_avg_uW,uncertainty,1,120,64,0.868899032939183,0.9171369712221641,1.1633341316305303,19.67166590857105
power_avg_uW,uncertainty,1,140,64,0.9067121362893438,0.7982822672425562,0.9813277874098519,18.20008005921795
power_avg_uW,uncertainty,1,160,64,0.9147218267423323,0.7824727229624935,0.9382540916538967,18.482009904604794
power_avg_uW,uncertainty,1,180,64,0.9244790730691728,0.731571256415748,0.8829481044203309,17.491611778368885
power_avg_uW,uncertainty,1,200,64,0.932296912124325,0.6912877145441957,0.8359990060394716,17.41809765276988
power_avg_uW,hybrid_random_then_uncertainty,1,20,64,0.7178352582402421,1.4202162701239047,1.706683127975747,37.039281463818405
power_avg_uW,hybrid_random_then_uncertainty,1,40,64,0.8189180029169655,1.1571087870592556,1.3672223852595302,24.765362094786397
power_avg_uW,hybrid_random_then_uncertainty,1,60,64,0.8777205141800165,0.908414676385479,1.1235135759252872,17.80684052798997
power_avg_uW,hybrid_random_then_uncertainty,1,80,64,0.8647314140443643,0.9518716088481214,1.181680306242972,18.25056911266589
power_avg_uW,hybrid_random_then_uncertainty,1,100,64,0.8952960783268955,0.7931590226795299,1.0396400389678195,15.992408674669287
power_avg_uW,hybrid_random_then_uncertainty,1,120,64,0.8866800485026636,0.8531161963396989,1.081570199411088,17.693958868102193
power_avg_uW,hybrid_random_then_uncertainty,1,140,64,0.8985521701668991,0.808116867413283,1.0233469585732995,17.021092881454525
power_avg_uW,hybrid_random_then_uncertainty,1,160,64,0.9241015321340889,0.7098394802797694,0.8851523509027435,15.987688133113098
power_avg_uW,hybrid_random_then_uncertainty,1,180,64,0.9278494408682156,0.6996391644347827,0.8630210189787102,16.221932745508884
power_avg_uW,hybrid_random_then_uncertainty,1,200,64,0.9372067930044418,0.6617716849438862,0.80511488256518,13.81703264280011
delay_avg_ns,random,2,20,64,0.3595690654969238,0.1456925216651011,0.20348588073725693,54.24681007887418
delay_avg_ns,random,2,40,64,0.5661273031560164,0.10672735983459924,0.16748630065731215,33.06214308534364
delay_avg_ns,random,2,60,64,0.6510966433238261,0.09497710161384187,0.150193349741691,31.12360705473593
delay_avg_ns,random,2,80,64,0.7493184581043248,0.07939185432692109,0.12730905904346984,26.645884944092725
delay_avg_ns,random,2,100,64,0.7993129703688828,0.07237178942595954,0.11390893255482054,23.010171716047655
delay_avg_ns,random,2,120,64,0.8193103222259264,0.0720519394527466,0.1080848443018283,22.009564758531404
delay_avg_ns,random,2,140,64,0.8334339440739078,0.06782296537583701,0.10377467471390783,20.719976822405915
delay_avg_ns,random,2,160,64,0.8362915415035973,0.06239260281110748,0.10288064755718367,18.682561457643487
delay_avg_ns,random,2,180,64,0.8282945941917248,0.06190269431991888,0.10536348180207936,18.124517472875816
delay_avg_ns,random,2,200,64,0.8388638863487905,0.06310872908159115,0.10206916737548048,18.692223169816582
delay_avg_ns,uncertainty,2,20,64,0.3595690654969238,0.1456925216651011,0.20348588073725696,54.24681007887418
delay_avg_ns,uncertainty,2,40,64,0.5603896512571644,0.10580688946825893,0.16859010584420903,34.69834101045958
delay_avg_ns,uncertainty,2,60,64,0.6487983533572865,0.09096551218253711,0.15068721326134077,28.184129381589994
delay_avg_ns,uncertainty,2,80,64,0.8374734405176402,0.07003950420379391,0.10250859959810973,24.822751584753448
delay_avg_ns,uncertainty,2,100,64,0.8522723896164563,0.06910872053697503,0.09773024015742414,26.25139066893552
delay_avg_ns,uncertainty,2,120,64,0.8273886530855579,0.07424112650526472,0.10564107217251816,29.465389214335243
delay_avg_ns,uncertainty,2,140,64,0.8456146654398378,0.068626273049195,0.09990820383130863,26.758243449242812
delay_avg_ns,uncertainty,2,160,64,0.8365182664573775,0.06979044832899753,0.10280938156407247,26.38065295451794
delay_avg_ns,uncertainty,2,180,64,0.8354169137106202,0.06348422413586102,0.10315510621935421,22.53651536381252
delay_avg_ns,uncertainty,2,200,64,0.833581293254705,0.0656207524361411,0.10372876350931352,23.069910836989767
delay_avg_ns,hybrid_random_then_uncertainty,2,20,64,0.3595690654969239,0.1456925216651011,0.2034858807372569,54.24681007887418
delay_avg_ns,hybrid_random_then_uncertainty,2,40,64,0.5661273031560164,0.10672735983459924,0.16748630065731215,33.06214308534364
delay_avg_ns,hybrid_random_then_uncertainty,2,60,64,0.6510966433238261,0.09497710161384187,0.150193349741691,31.123607054735924
