protocol,selected_protocol,target,model,seed,train_hf_rows,train_lf_rows,test_hf_rows,include_source,hf_weight,r2,mae,rmse,mape_pct
source_indicator_equal_weight,,power_uW,RandomForest,2,56,155,24,True,,-0.357327135165751,2.449358061055855,2.930998586582938,107.36128362454383
source_indicator_weighted,,power_uW,RandomForest,2,56,155,24,True,1.5,-0.350989312140485,2.444192558220034,2.924147664201669,106.90304510901258
source_indicator_weighted,,power_uW,RandomForest,2,56,155,24,True,3.0,-0.35343329576045934,2.443795446962497,2.9267914082178974,106.3615647624117
two_stage_lf_plus_hf_residual,,power_uW,RandomForest,2,56,155,24,False,,-0.40235707745762284,2.4905341295243346,2.9792205063832458,107.82653271425329
source_aware_validation_gate,weighted_merge_no_source_3.0,power_uW,RandomForest,2,56,155,24,False,3.0,-0.35379155334787393,2.446337285106756,2.9271787475323006,106.33658456868974
hf_only,,delay_ns,GradientBoosting,3,56,0,24,False,,0.4194673457310827,0.09649139195960206,0.1237184444026065,50.03554817988628
lf_only,,delay_ns,GradientBoosting,3,0,155,24,False,,-327.05196942578704,2.014784709759084,2.940982556927408,814.6380878732938
naive_merge_equal_weight,,delay_ns,GradientBoosting,3,56,155,24,False,,0.043365513939192635,0.12781766616218157,0.1588159586546997,77.20359530036697
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,1.0,0.043365513939192635,0.12781766616218157,0.1588159586546997,77.20359530036697
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,1.5,-0.7833506981501008,0.1347688545353545,0.21684005166817127,71.55271805009642
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,2.0,-0.41458942483843586,0.13051398779736045,0.19312403538447936,64.15828830978654
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,3.0,-3.2937830791401606,0.14680708992481695,0.3364659914411336,64.8894419999494
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,5.0,-4.329747807301134,0.13737997085924217,0.37486462043295665,61.97560128342069
weighted_merge_no_source,,delay_ns,GradientBoosting,3,56,155,24,False,10.0,-4.519956940277468,0.14951502442019857,0.38149510424235117,61.63393157798866
source_indicator_equal_weight,,delay_ns,GradientBoosting,3,56,155,24,True,,-0.5603880145910447,0.146623394939037,0.20283244553215932,80.32392174969017
source_indicator_weighted,,delay_ns,GradientBoosting,3,56,155,24,True,1.5,-2.3111559220361375,0.1545838835350314,0.29546833174446285,77.58471672986028
source_indicator_weighted,,delay_ns,GradientBoosting,3,56,155,24,True,3.0,-3.2481807732591363,0.1474520448891295,0.33467449639277325,64.94901841750512
two_stage_lf_plus_hf_residual,,delay_ns,GradientBoosting,3,56,155,24,False,,-13.096076915013194,0.2986710818837371,0.6096355080439868,93.22212709022953
source_aware_validation_gate,hf_only,delay_ns,GradientBoosting,3,56,0,24,False,,0.4194673457310827,0.09649139195960206,0.1237184444026065,50.03554817988628
hf_only,,delay_ns,RandomForest,3,56,0,24,False,,0.6543390409217773,0.07383316284480824,0.09546546435012111,41.81553932721534
lf_only,,delay_ns,RandomForest,3,0,155,24,False,,-447.62042353757806,2.336813704405345,3.4392254395679847,928.9276462976046
naive_merge_equal_weight,,delay_ns,RandomForest,3,56,155,24,False,,-3.2107030806439543,0.16814620416331186,0.33319496731205517,62.53461552272045
weighted_merge_no_source,,delay_ns,RandomForest,3,56,155,24,False,1.0,-3.2107030806439543,0.16814620416331186,0.33319496731205517,62.53461552272045
weighted_merge_no_source,,delay_ns,RandomForest,3,56,155,24,False,1.5,-0.29940789389999356,0.11901230067280986,0.1850946535737263,52.54838550643052
weighted_merge_no_source,,delay_ns,RandomForest,3,56,155,24,False,2.0,0.5908717772902742,0.08174621887154758,0.10386060394357478,45.47573182948164
