experiment,training_protocol,seed,target,heldout_cell,fewshot_k,model,train_rows,test_rows,r2,mae,rmse,mape_pct
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NAND2,0,GradientBoosting,240,80,0.8422997383968645,0.056920744505980836,0.08905130098495007,24.34769393263812
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NAND2,0,GradientBoosting,240,80,0.9775010604266914,0.3428229007635958,0.4518322878570999,6.315252903125741
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NAND2,20,GradientBoosting,260,60,0.8722390730874319,0.05024752786391597,0.08878521583160519,19.976652117406264
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,NAND2,20,GradientBoosting,20,60,0.21266822501833949,0.12078021643813334,0.2204045304536914,41.458017328361045
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NAND2,20,GradientBoosting,260,60,0.9844748064845761,0.28866096498418387,0.3819596573851321,6.1752802047918545
leave_one_cell_transfer,target_support_only,3,power_avg_uW,NAND2,20,GradientBoosting,20,60,0.8344935592824425,1.0078343696865066,1.2471148010482793,32.39471038374159
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NAND2,40,GradientBoosting,280,40,0.8888882176019142,0.04767280520623888,0.0878748906808603,18.3632609528931
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,NAND2,40,GradientBoosting,40,40,0.7070551056105994,0.07647554101792578,0.14268479880723806,30.404297444549
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NAND2,40,GradientBoosting,280,40,0.9825892414988162,0.31830646708449767,0.4271158190799223,6.783656331441794
leave_one_cell_transfer,target_support_only,3,power_avg_uW,NAND2,40,GradientBoosting,40,40,0.9508423558890913,0.5897992450420826,0.7176824750574151,24.61859816830255
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NOR2,0,GradientBoosting,240,80,0.7986871351156047,0.0637239076348601,0.10731353858030088,15.880036877670314
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NOR2,0,GradientBoosting,240,80,0.9805422958350481,0.32933406597579806,0.41532636681385665,7.034958293920754
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NOR2,20,GradientBoosting,260,60,0.8298047155789953,0.059430842113739155,0.09742815159862603,15.141169455869882
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,NOR2,20,GradientBoosting,20,60,0.1591072536565712,0.15541393979566998,0.21656137730682867,55.87076265579878
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NOR2,20,GradientBoosting,260,60,0.9779211283306718,0.3553364641949246,0.450732456240776,8.1103772123691
leave_one_cell_transfer,target_support_only,3,power_avg_uW,NOR2,20,GradientBoosting,20,60,0.8683239012347134,0.8728459216375309,1.1007377721351939,21.690163057154432
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,NOR2,40,GradientBoosting,280,40,0.8695250944383361,0.048399059251986454,0.07691538095608304,14.95568473503538
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,NOR2,40,GradientBoosting,40,40,0.6670285764411469,0.08755406090122039,0.12287207182465885,32.787254005576216
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,NOR2,40,GradientBoosting,280,40,0.9834620952542329,0.32710327945272255,0.3944594431694163,6.164652982985608
leave_one_cell_transfer,target_support_only,3,power_avg_uW,NOR2,40,GradientBoosting,40,40,0.9434000207709455,0.5204843717371546,0.7297435249176145,9.256819411761628
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,XOR2,0,GradientBoosting,240,80,0.6682579658190242,0.11330130176644133,0.13470469390764556,31.16169666068207
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,XOR2,0,GradientBoosting,240,80,0.584235967655611,1.9327193277274344,2.28989793679755,24.862155322163577
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,XOR2,20,GradientBoosting,260,60,0.8379027166176891,0.06642659534720476,0.09471725777076437,15.795850214350574
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,XOR2,20,GradientBoosting,20,60,0.6079944504372291,0.0983226891994878,0.1472947797608571,26.12577039206576
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,XOR2,20,GradientBoosting,260,60,0.9367865275081297,0.7140148995424735,0.9282672477590043,9.447853014304416
leave_one_cell_transfer,target_support_only,3,power_avg_uW,XOR2,20,GradientBoosting,20,60,0.7509846552497934,1.5061676011743093,1.8423886876375055,30.544074754494314
leave_one_cell_transfer,source_plus_target_support,3,delay_avg_ns,XOR2,40,GradientBoosting,280,40,0.8303347799765459,0.05438329413055508,0.09487314421845232,11.534400996126026
leave_one_cell_transfer,target_support_only,3,delay_avg_ns,XOR2,40,GradientBoosting,40,40,0.5053810410340347,0.08902714179813863,0.1619877828121066,19.86018627684345
leave_one_cell_transfer,source_plus_target_support,3,power_avg_uW,XOR2,40,GradientBoosting,280,40,0.9422704291333276,0.7318201408024072,0.9102588170378976,10.461494124326743
leave_one_cell_transfer,target_support_only,3,power_avg_uW,XOR2,40,GradientBoosting,40,40,0.8882969190975601,1.0640085552308782,1.2661883273498091,18.969227234710274
leave_one_cell_transfer,source_plus_target_support,4,delay_avg_ns,INV,0,GradientBoosting,240,80,0.19428220471957836,0.12982529721576638,0.1576029688812308,62.46601633780672
leave_one_cell_transfer,source_plus_target_support,4,power_avg_uW,INV,0,GradientBoosting,240,80,0.6929965294413566,1.2810961300539592,1.4235166260283836,34.47230409002213
leave_one_cell_transfer,source_plus_target_support,4,delay_avg_ns,INV,20,GradientBoosting,260,60,0.6766282771757581,0.07097969757823315,0.10671699983594607,29.200694332905176
