seed,heldout_corner,uncertainty_weight,diversity_weight,support_rows,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
0,ff,0.25,0.75,20,0.7442717952312692,0.05488091017361109,0.07307250645555291,0.9336534925477689,0.5818833627232136,0.8603117323383139,0.5104332080260223,0.44278907798358436,0.8449538781564555,0.8641815711046098,0.44278907798358436,0.9641844258974153,0.8699186991869919,1.0,1.0,0.9997735493315758
0,ff,0.25,0.75,24,0.8013710301270323,0.05068949811135915,0.06440001737240948,0.931820644225807,0.583326033134921,0.8721140017735391,0.6545990548994405,0.6062322355660588,0.8464218744426595,0.8808227895301367,0.6062322355660588,0.9675877157442672,0.8768873403019745,1.0,1.0,0.9997140865280325
0,ff,0.5,0.5,0,0.1710811832626925,0.10823016123152286,0.1315590378300338,0.9367959314050616,0.6279279983630953,0.8396906752341297,-0.1579345112655972,-0.7413202281193363,0.41306779284772444,0.2537105303950751,-0.7413202281193363,0.9716392512762337,0.8792102206736353,1.0,1.0,0.9992539994471448
0,ff,0.5,0.5,4,0.34026862609038033,0.09988224594345238,0.11736760925749148,0.9370745585284173,0.6236645346974209,0.837837795990149,0.12587237038270305,-0.20769839249015276,0.4754788145933706,0.32639240780132606,-0.20769839249015276,0.970018637063447,0.8861788617886178,1.0,1.0,0.9996744129132832
0,ff,0.5,0.5,8,0.48030901205616416,0.09151689149826388,0.10416870909664093,0.9326615494331615,0.6256125712549605,0.8667191096453561,0.41181942056890786,-0.0027759705891237108,0.5820021543738201,0.4201233009362967,-0.0027759705891237108,0.9742322340166923,0.8977932636469221,1.0,1.0,0.9996744129132832
0,ff,0.5,0.5,12,0.560584426922557,0.08305729898511907,0.09578608248586168,0.9278213099456382,0.637172283010913,0.8973281877944789,0.3851194100614719,0.15654983320534255,0.663072032088124,0.5880877826580657,0.15654983320534255,0.9693703913783325,0.8861788617886178,1.0,1.0,0.9996744129132832
0,ff,0.5,0.5,16,0.6821263149338783,0.06727668109325402,0.08146892349331583,0.9370200455741442,0.6074973390376991,0.8382006311560665,0.5000292054893327,0.38611964373969854,0.723429699615574,0.7911343723215284,0.38611964373969854,0.9688842071144964,0.8815331010452961,1.0,1.0,0.9995294384233079
0,ff,0.5,0.5,20,0.7736028156486254,0.05801003790109481,0.06875435307338232,0.9355608810471909,0.5981478721478174,0.847855046444255,0.6461823858684552,0.5378250400615696,0.7834724503726449,0.8879112565745075,0.5378250400615696,0.9743942954379711,0.9024390243902439,1.0,1.0,0.9997140865280325
0,ff,0.5,0.5,24,0.7781622516214918,0.05749428790190972,0.06805850636011115,0.9320760427808663,0.6234186107638893,0.8704790080369244,0.6217584061751205,0.6383314167191951,0.7661328721106566,0.8881306366908932,0.6217584061751205,0.9739081111741351,0.8931475029036005,1.0,1.0,0.9996685674915304
0,ff,0.75,0.25,0,0.17108118326269284,0.10823016123152283,0.13155903783003378,0.9367959314050616,0.6279279983630952,0.8396906752341294,-0.15793451126559543,-0.7413202281193361,0.41306779284772444,0.2537105303950744,-0.7413202281193361,0.9716392512762337,0.8792102206736353,1.0,1.0,0.9992539994471448
0,ff,0.75,0.25,4,0.25894102350773696,0.10768245772420636,0.12439160615882879,0.9295125897157347,0.6507292832376697,0.8867528437909623,0.10467771945505788,-0.4030607647907547,0.38310936413127417,0.2305149455500337,-0.4030607647907547,0.9683980228506603,0.8792102206736353,1.0,1.0,0.9994510801049484
0,ff,0.75,0.25,8,0.31426758433987567,0.10496405655714994,0.1196580797941152,0.9298573154710927,0.629912151884921,0.8845818092255864,0.24384339419121992,-0.3282099813162016,0.41149687374884625,0.2652306537756044,-0.3282099813162016,0.9721254355400698,0.8815331010452961,1.0,1.0,0.9994510801049484
0,ff,0.75,0.25,12,0.5783807036197133,0.08490980751674108,0.09382637313169181,0.9339079414264497,0.5962569420776641,0.8586604348455297,0.5646817732105729,0.2782022949550189,0.5715456123613922,0.5455078453107298,0.2782022949550189,0.9719633741187911,0.8815331010452961,1.0,1.0,0.9997140865280325
0,ff,0.75,0.25,16,0.5859386661890174,0.08278184311421131,0.09298160270703298,0.9299053162519479,0.6370704828621037,0.8842790842541993,0.5645275736919572,0.283182131301155,0.5514526589153872,0.5987112761958147,0.283182131301155,0.9648326715825298,0.8722415795586527,1.0,1.0,0.9988551657330303
0,ff,0.75,0.25,20,0.6373303531107818,0.07820650517547126,0.08702024348054599,0.9354467222495741,0.6270635655505956,0.8486057339489635,0.6030417616229465,0.3504219706775119,0.5677727309203529,0.7223432043197731,0.3504219706775119,0.9649947330038086,0.8629500580720093,1.0,1.0,0.9988551657330303
