pdk,cohort,method,subset,runs,successful_runs,gap_le_0p02_rate,exact_95ci_lower,exact_95ci_upper,median_stop_budget,median_query_reduction_pct,median_gap_to_full,maximum_gap_to_full,median_worst_family_r2,median_worst_variant_r2
SKY130,external_replication,prediction_change_plus_coverage,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0,0.0109602778866773,0.7003664303148774,0.1710017296816112
SKY130,external_replication,prediction_change_plus_coverage,early_stop_only,9,9,1.0,0.6637328831200572,1.0,80.0,16.666666666666668,0.0043819822642082,0.0109602778866773,0.6939837881064614,0.1261737454533704
SKY130,external_replication,prediction_change_plus_coverage,full_budget_fallback,6,6,1.0,0.5407418735600995,1.0,96.0,0.0,0.0,0.0,0.7390066393455038,0.44815971135767796
SKY130,external_replication,prequential_only,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0037311371474831,0.0109602778866773,0.6939837881064614,0.1710017296816112
SKY130,external_replication,prequential_only,early_stop_only,10,10,1.0,0.6915028921812392,1.0,80.0,16.666666666666668,0.0044208946803113,0.0109602778866773,0.6816262064656248,-1.2952399836771256
SKY130,external_replication,prequential_only,full_budget_fallback,5,5,1.0,0.4781762498950185,1.0,96.0,0.0,0.0,0.0,0.7776468483761302,0.5471026202923134
SKY130,external_replication,prequential_plus_coverage,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0,0.0109602778866773,0.7003664303148774,0.1710017296816112
SKY130,external_replication,prequential_plus_coverage,early_stop_only,8,8,1.0,0.6305833524471807,1.0,80.0,16.666666666666668,0.0044208946803113,0.0109602778866773,0.6899239755862824,0.010530595984233448
SKY130,external_replication,prequential_plus_coverage,full_budget_fallback,7,7,1.0,0.5903836027749966,1.0,96.0,0.0,0.0,0.0,0.7586247858868458,0.4993744795348052
SKY130,external_replication,prequential_plus_prediction_change,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0037311371474831,0.0109602778866773,0.6939837881064614,0.1710017296816112
SKY130,external_replication,prequential_plus_prediction_change,early_stop_only,10,10,1.0,0.6915028921812392,1.0,80.0,16.666666666666668,0.0044208946803113,0.0109602778866773,0.6816262064656248,-1.2952399836771256
SKY130,external_replication,prequential_plus_prediction_change,full_budget_fallback,5,5,1.0,0.4781762498950185,1.0,96.0,0.0,0.0,0.0,0.7776468483761302,0.5471026202923134
