seed,heldout_corner,strategy,threshold,reached,spice_queries_to_threshold,spice_wall_time_to_threshold_s
4,ss,uncertainty,top20_recall,True,0.0,0.0
4,ss,uncertainty,joint,True,16.0,13.428628584049877
4,typical,cell_balanced_random,delay_r2,True,0.0,0.0
4,typical,cell_balanced_random,top20_recall,True,16.0,9.629789001075553
4,typical,cell_balanced_random,joint,True,16.0,9.629789001075553
4,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
4,typical,cell_balanced_space_filling,top20_recall,True,40.0,24.080246128083672
4,typical,cell_balanced_space_filling,joint,True,40.0,24.080246128083672
4,typical,random,delay_r2,True,0.0,0.0
4,typical,random,top20_recall,True,40.0,23.925578287162352
4,typical,random,joint,True,40.0,23.925578287162352
4,typical,space_filling,delay_r2,True,0.0,0.0
4,typical,space_filling,top20_recall,True,12.0,6.882137166918255
4,typical,space_filling,joint,True,12.0,6.882137166918255
4,typical,uncertainty,delay_r2,True,0.0,0.0
4,typical,uncertainty,top20_recall,True,12.0,8.893548543012002
4,typical,uncertainty,joint,True,12.0,8.893548543012002
