experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
cell_transfer,delay_avg_ns,RandomForest,240,80,NOR2,0,0.7653642637082068,0.07570523092196958,0.11585527970954602,20.8793195486301
cell_transfer,delay_avg_ns,GradientBoosting,240,80,NOR2,0,0.8036487653868389,0.06304693227498956,0.10598284393108111,15.733261317886646
cell_transfer,delay_avg_ns,MLP,240,80,NOR2,0,0.17769608203066067,0.14691540026999506,0.2168877037167473,43.115456602013964
cell_transfer,power_avg_uW,RandomForest,240,80,NOR2,0,0.9676270794713578,0.4251644303421368,0.5357160345924605,9.482803248360213
cell_transfer,power_avg_uW,GradientBoosting,240,80,NOR2,0,0.9804566948540189,0.3305134211329495,0.41623894437804626,7.079564736437552
cell_transfer,power_avg_uW,MLP,240,80,NOR2,0,0.9213712272474793,0.6993972862924784,0.8348999855457242,14.450392607403522
cell_transfer,delay_avg_ns,RandomForest,245,75,NOR2,5,0.78271203403457,0.07436084464694312,0.11466283652327028,23.54133809104274
cell_transfer,delay_avg_ns,GradientBoosting,245,75,NOR2,5,0.8211944889222921,0.06236397024573826,0.10401483728862052,17.813788298176714
cell_transfer,delay_avg_ns,MLP,245,75,NOR2,5,0.7176112120756182,0.08494410526531697,0.13071594547802648,30.554551465402607
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,5,75,NOR2,5,0.03927817684672941,0.1693093794097778,0.24110358714008195,68.37326595155648
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,5,75,NOR2,5,0.10790406548719822,0.1654161718396072,0.2323328521798831,67.56792802210583
cell_transfer,power_avg_uW,RandomForest,245,75,NOR2,5,0.9658687391781265,0.43497836888007746,0.5493778701716782,9.689734355000745
cell_transfer,power_avg_uW,GradientBoosting,245,75,NOR2,5,0.9793167207990487,0.3336196268515787,0.42766596863277645,6.5639714502653534
cell_transfer,power_avg_uW,MLP,245,75,NOR2,5,0.9373652967096386,0.6153190614853356,0.7442220063440589,18.814958364005033
cell_fewshot_from_scratch,power_avg_uW,RandomForest,5,75,NOR2,5,-0.06623181795003186,2.6093762343466658,3.070582813295758,58.294211310620845
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,5,75,NOR2,5,0.34547032540671896,2.0085237672767997,2.4058008062600647,52.18454307254999
cell_transfer,delay_avg_ns,RandomForest,250,70,NOR2,10,0.7530735152246386,0.08114456089199389,0.12341227269280233,20.63953737942031
cell_transfer,delay_avg_ns,GradientBoosting,250,70,NOR2,10,0.8057675551212304,0.0672903466392271,0.10945494865868483,16.3124560791696
cell_transfer,delay_avg_ns,MLP,250,70,NOR2,10,0.7502816015588086,0.07832500545406089,0.12410800189517814,25.110352952827352
